id,user_id,year
1,fV8Yr0c5tFQTQ2SRRJHXHw,2009
2,aw973Pm1nrTbRjP4zY9B9g,2014
3,aw973Pm1nrTbRjP4zY9B9g,2016
4,aw973Pm1nrTbRjP4zY9B9g,2013
5,aw973Pm1nrTbRjP4zY9B9g,2015
6,aw973Pm1nrTbRjP4zY9B9g,2010
7,aw973Pm1nrTbRjP4zY9B9g,2012
8,aw973Pm1nrTbRjP4zY9B9g,2011
9,iWMxMUWNXfdvVl9oXSaltA,2017
10,i5jSTSpXJtvM-ExWRttglw,2016
11,i5jSTSpXJtvM-ExWRttglw,2017
12,i5jSTSpXJtvM-ExWRttglw,2014
13,i5jSTSpXJtvM-ExWRttglw,2015
14,snDjs1hdh7JOWv4jjbXPDw,2015
15,snDjs1hdh7JOWv4jjbXPDw,2013
16,snDjs1hdh7JOWv4jjbXPDw,2014
17,snDjs1hdh7JOWv4jjbXPDw,2017
18,snDjs1hdh7JOWv4jjbXPDw,2016
19,bBRPy8zUvNc0NGbGmkjrZg,2012
20,bBRPy8zUvNc0NGbGmkjrZg,2011
21,bBRPy8zUvNc0NGbGmkjrZg,2013
22,bBRPy8zUvNc0NGbGmkjrZg,2010
23,37Hc8hr3cw0iHLoPzLK6Ow,2011
24,37Hc8hr3cw0iHLoPzLK6Ow,2010
25,37Hc8hr3cw0iHLoPzLK6Ow,2009
26,37Hc8hr3cw0iHLoPzLK6Ow,2012
27,MgAHuFGzScMAuLpDmHK7iQ,2017
28,MgAHuFGzScMAuLpDmHK7iQ,2016
29,oH9K7eCuNsYr6MmlM2ZjUg,2010
30,oH9K7eCuNsYr6MmlM2ZjUg,2017
31,oH9K7eCuNsYr6MmlM2ZjUg,2015
32,oH9K7eCuNsYr6MmlM2ZjUg,2014
33,oH9K7eCuNsYr6MmlM2ZjUg,2012
34,oH9K7eCuNsYr6MmlM2ZjUg,2016
35,oH9K7eCuNsYr6MmlM2ZjUg,2013
36,oH9K7eCuNsYr6MmlM2ZjUg,2009
37,oH9K7eCuNsYr6MmlM2ZjUg,2008
38,oH9K7eCuNsYr6MmlM2ZjUg,2011
39,z9MozWK9f7C8p3Gj0uOiHw,2016
40,z9MozWK9f7C8p3Gj0uOiHw,2014
41,z9MozWK9f7C8p3Gj0uOiHw,2017
42,z9MozWK9f7C8p3Gj0uOiHw,2012
43,z9MozWK9f7C8p3Gj0uOiHw,2013
