id,user_id,friend_id
1,oMy_rEb0UBEmMlu-zcxnoQ,cvVMmlU1ouS3I5fhutaryQ
2,oMy_rEb0UBEmMlu-zcxnoQ,nj6UZ8tdGo8YJ9lUMTVWNw
3,oMy_rEb0UBEmMlu-zcxnoQ,RTtdEVhAmeWqCSp0IgJ99w
4,oMy_rEb0UBEmMlu-zcxnoQ,t3UKA1sl4e6LY_xsjuvI0A
5,oMy_rEb0UBEmMlu-zcxnoQ,s057_BvOfnKNvQquJf7VNg
6,oMy_rEb0UBEmMlu-zcxnoQ,VYrdepCgdzJ4WaxP7dBGpg
7,oMy_rEb0UBEmMlu-zcxnoQ,XXLSk6sQQDyr3dZ4zE-O0g
8,oMy_rEb0UBEmMlu-zcxnoQ,Py8ThfExQaXF2Woqr7kWUw
9,oMy_rEb0UBEmMlu-zcxnoQ,233YNvzVtZ1ObkaNkUzNIw
10,oMy_rEb0UBEmMlu-zcxnoQ,L6iE9NpmHHJQTk0JQlRlSA
11,oMy_rEb0UBEmMlu-zcxnoQ,Y7XTMgZ_q5Bj5f9KhK1R4Q
12,JJ-aSuM4pCFPdkfoZ34q0Q,0njfJmB-7n84DlIgUByCNw
13,JJ-aSuM4pCFPdkfoZ34q0Q,rFn3Xe3RqHxRSxWOU19Gpg
14,JJ-aSuM4pCFPdkfoZ34q0Q,HVUAmApa0fCbHHVJ0ALshw
15,JJ-aSuM4pCFPdkfoZ34q0Q,LBOTb6bJjCdFyDLNswUGmA
16,JJ-aSuM4pCFPdkfoZ34q0Q,cy3d0moQOsrhWo6VAyA_kA
17,JJ-aSuM4pCFPdkfoZ34q0Q,XTDeelhFzFX0h_8YELJDIQ
18,JJ-aSuM4pCFPdkfoZ34q0Q,_erxdUfB8yJA_MCDBAaD_w
19,JJ-aSuM4pCFPdkfoZ34q0Q,3wMYVoHy15nxOCLZYYIhqA
20,JJ-aSuM4pCFPdkfoZ34q0Q,74C8Mdn3ISlFIwNZQUPEdg
21,JJ-aSuM4pCFPdkfoZ34q0Q,Vc980a_kTQL9tzfG1ESq_g
22,JJ-aSuM4pCFPdkfoZ34q0Q,UPld_8xdzvYmIMA4YxtG0A
23,JJ-aSuM4pCFPdkfoZ34q0Q,ggppqaSt-4E-Y2XUVv6mMw
24,JJ-aSuM4pCFPdkfoZ34q0Q,vILp0ctTM3fX0ucJeBw9Hg
25,JJ-aSuM4pCFPdkfoZ34q0Q,Gl46kwumd4_f102dxgswDw
26,JJ-aSuM4pCFPdkfoZ34q0Q,i9CDu8j-qcUfZYl67WBwiw
27,JJ-aSuM4pCFPdkfoZ34q0Q,23lcgZUt6dvtMqV_AZe9KQ
28,JJ-aSuM4pCFPdkfoZ34q0Q,zacONW61-GjaCF9h5_icgA
29,JJ-aSuM4pCFPdkfoZ34q0Q,BclKLmGPYlMEVr3OZ_Uuzw
30,JJ-aSuM4pCFPdkfoZ34q0Q,ol00uKESTC5PR_fETT27AA
31,JJ-aSuM4pCFPdkfoZ34q0Q,o7e8zecvSlPNTrPi1ZQLzg
32,JJ-aSuM4pCFPdkfoZ34q0Q,00JBHX0npVAC-itaFOUhpQ
33,JJ-aSuM4pCFPdkfoZ34q0Q,im3w0wt-ZeE-lDa1zSdyMg
34,JJ-aSuM4pCFPdkfoZ34q0Q,J_hT3mbtiwHIEWjTBSJnzQ
35,JJ-aSuM4pCFPdkfoZ34q0Q,_54jmZK9vr9CN-SUSjFbMg
36,JJ-aSuM4pCFPdkfoZ34q0Q,65w6GtrNNlZDowVDAYGZFQ
37,JJ-aSuM4pCFPdkfoZ34q0Q,WJeipqBVdQmVhnYrXlLb7A
38,JJ-aSuM4pCFPdkfoZ34q0Q,vAhyONgVtU-oIaSHRJW0IA
